简历ID,应聘岗位,所属部门,招聘渠道,简历投递时间,简历筛选结果,筛选完成时间,一面时间,一面面试官,一面结果,二面时间,二面面试官,二面结果,终面时间,终面面试官,终面结果,Offer发放时间,候选人期望薪资,Offer定薪,是否接受Offer,入职时间,是否到岗
RES00656,测试工程师,技术部,内部推荐,2025-02-08,通过,2025-02-09,2025-02-16,柳红霞,通过,2025-02-22,杨坤,通过,2025-02-22,倪秀云,通过,2025-02-26,26k,27525.0,是,2025-03-21,是
RES00657,客服主管,客服部,猎头,2024-12-19,通过,2024-12-21,2024-12-23,孔秀芳,通过,2025-01-01,刘艳,不通过,,,,,,,,,否
RES00658,客服主管,客服部,内部推荐,2024-05-29,不通过,,,,,,,,,,,,,,,,否
RES00659,前端开发工程师,技术部,前程无忧,2024-10-24,不通过,,,,,,,,,,,,,,,,否
RES00660,产品运营,运营部,前程无忧,2024-02-13,不通过,,,,,,,,,,,,,,,,否
RES00661,客服主管,客服部,内部推荐,2024-10-21,不通过,,,,,,,,,,,,,,,,否
RES00662,产品运营,运营部,校园招聘,2024-03-21,通过,2024-03-26,2024-03-28,周玉英,不通过,,,,,,,,,,,,否
RES00663,行政专员,人事部,猎头,2024-12-20,通过,2024-12-23,2024-12-25,万冬梅,候选人放弃,,,,,,,,,,,,否
RES00664,市场推广,市场部,智联招聘,2025-03-28,不通过,,,,,,,,,,,,,,,,否
RES00665,测试工程师,技术部,猎头,2024-09-19,不通过,,,,,,,,,,,,,,,,否
RES00666,产品经理,产品部,BOSS直聘,2025-05-05,不通过,,,,,,,,,,,,,,,,否
RES00667,产品经理,产品部,BOSS直聘,2024-08-07,通过,2024-08-08,2024-08-12,陈璐,通过,2024-08-15,周淑华,不通过,,,,,,,,,否
RES00668,客服主管,客服部,BOSS直聘,2024-07-25,通过,2024-07-29,2024-08-04,苏秀华,通过,2024-08-06,叶帅,通过,2024-08-09,高淑英,通过,2024-08-18,25k,23846.0,否,,否
RES00669,数据分析师,产品部,BOSS直聘,2024-10-04,通过,2024-10-05,2024-10-14,童洁,通过,2024-10-12,黄玉珍,不通过,,,,,,,,,否
RES00670,市场推广,市场部,内部推荐,2024-10-05,不通过,,,,,,,,,,,,,,,,否
RES00671,行政专员,人事部,校园招聘,2024-05-20,不通过,,,,,,,,,,,,,,,,否
RES00672,Java开发工程师,技术部,内部推荐,2024-04-21,通过,2024-04-26,2024-04-24,杨颖,通过,2024-05-03,唐强,不通过,,,,,,,,,否
RES00673,市场推广,市场部,猎聘,2024-09-02,通过,2024-09-06,2024-09-10,漆东,通过,2024-09-14,韩坤,通过,2024-09-21,翟杨,通过,2024-09-25,10k,10251.0,否,,否
RES00674,前端开发工程师,技术部,前程无忧,2024-09-05,不通过,,,,,,,,,,,,,,,,否
RES00675,产品经理,产品部,猎聘,2024-02-21,不通过,,,,,,,,,,,,,,,,否
RES00676,数据分析师,产品部,智联招聘,2025-06-27,不通过,,,,,,,,,,,,,,,,否
RES00677,前端开发工程师,技术部,内部推荐,2024-08-19,通过,2024-08-23,2024-08-24,李云,不通过,,,,,,,,,,,,否
RES00678,产品经理,产品部,猎聘,2024-08-26,不通过,,,,,,,,,,,,,,,,否
RES00679,行政专员,人事部,猎聘,2024-02-23,不通过,,,,,,,,,,,,,,,,否
RES00680,数据分析师,产品部,前程无忧,2024-04-12,通过,2024-04-15,2024-04-20,王涛,通过,2024-04-25,李琴,通过,2024-04-30,徐坤,通过,2024-05-07,16k,16666.0,是,2024-06-03,是
RES00681,数据分析师,产品部,校园招聘,2025-02-27,不通过,,,,,,,,,,,,,,,,否
RES00682,测试工程师,技术部,BOSS直聘,2024-12-04,通过,2024-12-08,2024-12-14,徐帅,通过,2024-12-15,罗丽娟,通过,2024-12-20,雷柳,不通过,,,,,,否
RES00683,HRBP,人事部,智联招聘,2025-04-28,不通过,,,,,,,,,,,,,,,,否
RES00684,财务会计,财务部,内部推荐,2024-04-12,不通过,,,,,,,,,,,,,,,,否
RES00685,市场推广,市场部,前程无忧,2024-05-20,通过,2024-05-21,2024-05-27,陈凤英,通过,2024-06-03,魏晶,不通过,,,,,,,,,否
RES00686,市场推广,市场部,校园招聘,2024-01-06,通过,2024-01-09,2024-01-12,陈峰,不通过,,,,,,,,,,,,否
RES00687,HRBP,人事部,智联招聘,2024-06-10,通过,2024-06-13,2024-06-18,尹平,通过,2024-06-23,谢凯,不通过,,,,,,,,,否
RES00688,Java开发工程师,技术部,智联招聘,2025-02-20,不通过,,,,,,,,,,,,,,,,否
RES00689,数据分析师,产品部,校园招聘,2025-05-02,不通过,,,,,,,,,,,,,,,,否
RES00690,产品经理,产品部,智联招聘,2025-05-03,不通过,,,,,,,,,,,,,,,,否
RES00691,Java开发工程师,技术部,前程无忧,2024-07-23,不通过,,,,,,,,,,,,,,,,否
RES00692,测试工程师,技术部,智联招聘,2024-10-21,通过,2024-10-26,2024-10-28,王晶,通过,2024-10-28,林畅,通过,2024-11-09,欧阳欢,通过,2024-11-07,19k,18382.0,是,2024-12-03,是
RES00693,市场推广,市场部,BOSS直聘,2024-11-24,不通过,,,,,,,,,,,,,,,,否
RES00694,测试工程师,技术部,猎聘,2024-10-19,通过,2024-10-22,2024-10-23,刘楠,通过,2024-10-28,王帆,通过,2024-11-02,郭伟,通过,2024-11-11,18k,19954.0,否,,否
RES00695,客服主管,客服部,BOSS直聘,2024-03-01,不通过,,,,,,,,,,,,,,,,否
RES00696,客服主管,客服部,校园招聘,2024-04-01,不通过,,,,,,,,,,,,,,,,否
RES00697,销售代表,销售部,内部推荐,2024-08-25,不通过,,,,,,,,,,,,,,,,否
RES00698,产品运营,运营部,BOSS直聘,2024-02-08,不通过,,,,,,,,,,,,,,,,否
RES00699,测试工程师,技术部,猎聘,2024-06-28,通过,2024-07-03,2024-07-03,何建华,通过,2024-07-13,林亮,通过,2024-07-17,倪秀芳,通过,2024-07-19,19k,20763.0,是,2024-08-03,是
RES00700,客服主管,客服部,前程无忧,2025-03-03,通过,2025-03-05,2025-03-07,万颖,候选人放弃,,,,,,,,,,,,否
RES00701,客服主管,客服部,BOSS直聘,2024-06-29,不通过,,,,,,,,,,,,,,,,否
RES00702,产品经理,产品部,BOSS直聘,2024-02-07,不通过,,,,,,,,,,,,,,,,否
RES00703,销售代表,销售部,智联招聘,2025-02-10,通过,2025-02-12,2025-02-18,周波,不通过,,,,,,,,,,,,否
RES00704,产品经理,产品部,猎聘,2025-05-22,通过,2025-05-25,2025-06-01,刘春梅,通过,2025-06-06,孟淑珍,不通过,,,,,,,,,否
RES00705,市场推广,市场部,猎聘,2024-07-09,不通过,,,,,,,,,,,,,,,,否
RES00706,前端开发工程师,技术部,前程无忧,2024-10-23,不通过,,,,,,,,,,,,,,,,否
RES00707,Java开发工程师,技术部,内部推荐,2024-02-08,不通过,,,,,,,,,,,,,,,,否
RES00708,测试工程师,技术部,内部推荐,2024-01-10,通过,2024-01-11,2024-01-15,吴丽丽,通过,2024-01-21,凌超,通过,2024-01-24,侯彬,通过,2024-01-26,21k,22756.0,是,2024-02-11,是
RES00709,市场推广,市场部,前程无忧,2024-11-01,不通过,,,,,,,,,,,,,,,,否
RES00710,前端开发工程师,技术部,内部推荐,2024-04-19,通过,2024-04-21,2024-04-22,阎淑兰,通过,2024-04-30,王东,通过,2024-05-05,姜淑华,通过,2024-05-14,8k,8760.0,是,2024-06-17,是
RES00711,行政专员,人事部,智联招聘,2024-12-09,不通过,,,,,,,,,,,,,,,,否
RES00712,数据分析师,产品部,校园招聘,2024-10-18,不通过,,,,,,,,,,,,,,,,否
RES00713,行政专员,人事部,前程无忧,2025-04-10,不通过,,,,,,,,,,,,,,,,否
RES00714,产品经理,产品部,内部推荐,2025-06-20,通过,2025-06-22,2025-06-28,江琴,不通过,,,,,,,,,,,,否
RES00715,财务会计,财务部,前程无忧,2025-05-20,不通过,,,,,,,,,,,,,,,,否
RES00716,财务会计,财务部,BOSS直聘,2024-05-17,不通过,,,,,,,,,,,,,,,,否
RES00717,前端开发工程师,技术部,前程无忧,2025-05-31,不通过,,,,,,,,,,,,,,,,否
RES00718,客服主管,客服部,智联招聘,2025-04-24,不通过,,,,,,,,,,,,,,,,否
RES00719,产品经理,产品部,猎聘,2024-10-06,不通过,,,,,,,,,,,,,,,,否
RES00720,前端开发工程师,技术部,智联招聘,2024-07-16,通过,2024-07-21,2024-07-22,李晨,候选人放弃,,,,,,,,,,,,否
RES00721,测试工程师,技术部,内部推荐,2024-04-25,不通过,,,,,,,,,,,,,,,,否
RES00722,产品经理,产品部,猎聘,2024-12-04,不通过,,,,,,,,,,,,,,,,否
RES00723,前端开发工程师,技术部,猎聘,2024-06-15,通过,2024-06-20,2024-06-19,高凤兰,通过,2024-06-30,曹斌,不通过,,,,,,,,,否
RES00724,行政专员,人事部,BOSS直聘,2025-04-14,不通过,,,,,,,,,,,,,,,,否
RES00725,销售代表,销售部,猎头,2024-09-20,通过,2024-09-25,2024-09-24,刘龙,通过,2024-10-02,钟秀英,通过,2024-10-08,张利,不通过,,,,,,否
RES00726,产品经理,产品部,内部推荐,2024-07-09,通过,2024-07-11,2024-07-17,李杰,通过,2024-07-17,杨淑珍,通过,2024-07-28,萧柳,通过,2024-07-29,31k,29775.0,是,2024-08-10,是
RES00727,销售代表,销售部,内部推荐,2024-01-15,通过,2024-01-18,2024-01-22,林鹏,通过,2024-01-29,沈桂珍,通过,2024-02-02,江欣,通过,2024-02-03,22k,20652.0,是,2024-03-11,是
RES00728,数据分析师,产品部,智联招聘,2024-12-11,不通过,,,,,,,,,,,,,,,,否
RES00729,数据分析师,产品部,前程无忧,2024-10-29,不通过,,,,,,,,,,,,,,,,否
RES00730,行政专员,人事部,BOSS直聘,2024-07-16,通过,2024-07-20,2024-07-26,仲荣,不通过,,,,,,,,,,,,否
RES00731,财务会计,财务部,前程无忧,2024-06-28,不通过,,,,,,,,,,,,,,,,否
RES00732,HRBP,人事部,BOSS直聘,2025-02-19,不通过,,,,,,,,,,,,,,,,否
RES00733,Java开发工程师,技术部,前程无忧,2025-03-13,通过,2025-03-17,2025-03-17,居建华,通过,2025-03-22,靳云,不通过,,,,,,,,,否
RES00734,市场推广,市场部,猎聘,2025-06-11,通过,2025-06-13,2025-06-20,张萍,通过,2025-06-24,尹婷婷,通过,2025-06-27,徐秀梅,通过,2025-07-05,27k,26205.0,否,,否
RES00735,Java开发工程师,技术部,智联招聘,2024-12-01,不通过,,,,,,,,,,,,,,,,否
RES00736,Java开发工程师,技术部,前程无忧,2024-03-29,不通过,,,,,,,,,,,,,,,,否
RES00737,市场推广,市场部,校园招聘,2025-02-14,不通过,,,,,,,,,,,,,,,,否
RES00738,行政专员,人事部,BOSS直聘,2024-04-07,不通过,,,,,,,,,,,,,,,,否
RES00739,行政专员,人事部,内部推荐,2024-07-08,通过,2024-07-12,2024-07-13,谢桂香,通过,2024-07-16,杨金凤,不通过,,,,,,,,,否
RES00740,财务会计,财务部,BOSS直聘,2024-05-23,通过,2024-05-27,2024-05-28,王磊,通过,2024-05-30,谢丹丹,通过,2024-06-11,高勇,不通过,,,,,,否
RES00741,HRBP,人事部,BOSS直聘,2025-05-03,不通过,,,,,,,,,,,,,,,,否
RES00742,产品运营,运营部,BOSS直聘,2024-11-27,不通过,,,,,,,,,,,,,,,,否
RES00743,Java开发工程师,技术部,内部推荐,2024-09-11,通过,2024-09-14,2024-09-15,韩东,通过,2024-09-26,潘博,不通过,,,,,,,,,否
RES00744,客服主管,客服部,智联招聘,2024-01-07,不通过,,,,,,,,,,,,,,,,否
RES00745,Java开发工程师,技术部,校园招聘,2024-09-24,不通过,,,,,,,,,,,,,,,,否
RES00746,产品运营,运营部,前程无忧,2025-01-27,通过,2025-01-31,2025-02-04,韩倩,不通过,,,,,,,,,,,,否
RES00747,产品经理,产品部,BOSS直聘,2024-08-29,不通过,,,,,,,,,,,,,,,,否
RES00748,财务会计,财务部,猎聘,2025-04-02,不通过,,,,,,,,,,,,,,,,否
RES00749,销售代表,销售部,BOSS直聘,2024-09-30,通过,2024-10-01,2024-10-09,陈英,通过,2024-10-13,韩淑兰,通过,2024-10-12,陈萍,通过,2024-10-15,13k,13951.0,否,,否
RES00750,销售代表,销售部,内部推荐,2024-12-03,通过,2024-12-05,2024-12-08,吴丽,通过,2024-12-16,张建华,通过,2024-12-16,刘娟,通过,2024-12-27,30k,30062.0,是,2025-01-19,是
RES00751,产品运营,运营部,BOSS直聘,2024-11-05,不通过,,,,,,,,,,,,,,,,否
RES00752,Java开发工程师,技术部,智联招聘,2024-01-12,不通过,,,,,,,,,,,,,,,,否
RES00753,销售代表,销售部,内部推荐,2024-09-24,通过,2024-09-28,2024-10-03,刘金凤,通过,2024-10-06,孙兰英,通过,2024-10-10,贾军,通过,2024-10-14,10k,9067.0,是,2024-11-19,是
RES00754,产品运营,运营部,猎头,2025-01-03,不通过,,,,,,,,,,,,,,,,否
RES00755,市场推广,市场部,智联招聘,2024-08-29,不通过,,,,,,,,,,,,,,,,否
RES00756,行政专员,人事部,内部推荐,2024-03-04,不通过,,,,,,,,,,,,,,,,否
RES00757,前端开发工程师,技术部,BOSS直聘,2024-05-01,不通过,,,,,,,,,,,,,,,,否
RES00758,行政专员,人事部,内部推荐,2025-04-21,通过,2025-04-25,2025-04-29,吴婷婷,通过,2025-04-28,李秀兰,通过,2025-05-06,马楠,通过,2025-05-09,29k,28137.0,是,2025-06-12,是
RES00759,Java开发工程师,技术部,猎聘,2024-11-10,通过,2024-11-13,2024-11-18,王莉,通过,2024-11-23,徐敏,通过,2024-11-28,陈建,通过,2024-11-29,8k,9007.0,是,2024-12-20,是
RES00760,产品运营,运营部,BOSS直聘,2024-06-12,不通过,,,,,,,,,,,,,,,,否
RES00761,产品经理,产品部,智联招聘,2025-02-19,不通过,,,,,,,,,,,,,,,,否
RES00762,销售代表,销售部,BOSS直聘,2025-05-29,不通过,,,,,,,,,,,,,,,,否
RES00763,销售代表,销售部,智联招聘,2024-11-14,通过,2024-11-16,2024-11-22,孟杨,通过,2024-11-25,何玉珍,通过,2024-12-02,杜杨,通过,2024-12-02,24k,24941.0,否,,否
RES00764,销售代表,销售部,BOSS直聘,2024-04-30,通过,2024-05-05,2024-05-07,刘玲,通过,2024-05-13,李旭,通过,2024-05-13,邵秀珍,不通过,,,,,,否
RES00765,测试工程师,技术部,猎聘,2024-10-29,不通过,,,,,,,,,,,,,,,,否
RES00766,产品运营,运营部,猎头,2025-01-11,通过,2025-01-16,2025-01-15,乔霞,通过,2025-01-26,张艳,通过,2025-01-26,阚兰英,通过,2025-01-31,34k,31186.0,否,,否
RES00767,行政专员,人事部,BOSS直聘,2024-08-14,不通过,,,,,,,,,,,,,,,,否
RES00768,产品经理,产品部,前程无忧,2024-08-12,通过,2024-08-17,2024-08-21,朱亮,通过,2024-08-27,余明,通过,2024-09-01,林瑜,通过,2024-08-29,8k,8829.0,是,2024-09-16,是
RES00769,测试工程师,技术部,前程无忧,2024-05-16,通过,2024-05-20,2024-05-25,李杨,通过,2024-05-23,李超,不通过,,,,,,,,,否
RES00770,产品运营,运营部,校园招聘,2025-05-04,不通过,,,,,,,,,,,,,,,,否
RES00771,Java开发工程师,技术部,前程无忧,2024-06-05,不通过,,,,,,,,,,,,,,,,否
RES00772,财务会计,财务部,前程无忧,2025-04-10,通过,2025-04-12,2025-04-19,萧彬,不通过,,,,,,,,,,,,否
RES00773,Java开发工程师,技术部,智联招聘,2025-01-17,不通过,,,,,,,,,,,,,,,,否
RES00774,前端开发工程师,技术部,BOSS直聘,2025-03-01,不通过,,,,,,,,,,,,,,,,否
RES00775,数据分析师,产品部,BOSS直聘,2025-04-27,不通过,,,,,,,,,,,,,,,,否
RES00776,财务会计,财务部,智联招聘,2024-08-11,不通过,,,,,,,,,,,,,,,,否
RES00777,Java开发工程师,技术部,BOSS直聘,2024-09-10,不通过,,,,,,,,,,,,,,,,否
RES00778,数据分析师,产品部,前程无忧,2024-03-24,通过,2024-03-27,2024-03-30,王畅,不通过,,,,,,,,,,,,否
RES00779,产品经理,产品部,智联招聘,2025-06-22,不通过,,,,,,,,,,,,,,,,否
RES00780,HRBP,人事部,前程无忧,2025-04-02,通过,2025-04-04,2025-04-09,王彬,通过,2025-04-17,赵帅,通过,2025-04-20,蔡婷,不通过,,,,,,否
RES00781,HRBP,人事部,BOSS直聘,2025-06-24,不通过,,,,,,,,,,,,,,,,否
RES00782,HRBP,人事部,校园招聘,2025-01-05,通过,2025-01-07,2025-01-08,魏秀芳,通过,2025-01-16,苏建,通过,2025-01-19,王宁,不通过,,,,,,否
RES00783,数据分析师,产品部,校园招聘,2024-03-20,不通过,,,,,,,,,,,,,,,,否
RES00784,前端开发工程师,技术部,BOSS直聘,2024-04-24,通过,2024-04-28,2024-04-28,和斌,通过,2024-05-05,侯秀英,通过,2024-05-12,高超,不通过,,,,,,否
RES00785,前端开发工程师,技术部,智联招聘,2024-03-04,不通过,,,,,,,,,,,,,,,,否
RES00786,HRBP,人事部,前程无忧,2025-06-01,不通过,,,,,,,,,,,,,,,,否
RES00787,市场推广,市场部,BOSS直聘,2024-07-26,不通过,,,,,,,,,,,,,,,,否
RES00788,销售代表,销售部,智联招聘,2024-06-02,不通过,,,,,,,,,,,,,,,,否
RES00789,财务会计,财务部,BOSS直聘,2024-06-17,不通过,,,,,,,,,,,,,,,,否
RES00790,财务会计,财务部,校园招聘,2024-12-01,不通过,,,,,,,,,,,,,,,,否
RES00791,销售代表,销售部,校园招聘,2025-06-16,不通过,,,,,,,,,,,,,,,,否
RES00792,行政专员,人事部,前程无忧,2025-03-28,不通过,,,,,,,,,,,,,,,,否
RES00793,市场推广,市场部,前程无忧,2024-04-29,不通过,,,,,,,,,,,,,,,,否
RES00794,HRBP,人事部,校园招聘,2024-07-29,通过,2024-08-03,2024-08-05,田桂芝,候选人放弃,,,,,,,,,,,,否
RES00795,销售代表,销售部,校园招聘,2025-05-15,不通过,,,,,,,,,,,,,,,,否
RES00796,产品运营,运营部,猎头,2024-04-03,通过,2024-04-08,2024-04-11,郑雪梅,通过,2024-04-16,石建军,通过,2024-04-18,祝梅,通过,2024-04-24,15k,14065.0,是,2024-05-11,是
RES00797,财务会计,财务部,BOSS直聘,2025-06-06,通过,2025-06-11,2025-06-14,叶博,通过,2025-06-14,陆建,不通过,,,,,,,,,否
RES00798,产品运营,运营部,BOSS直聘,2025-04-01,通过,2025-04-05,2025-04-07,薄丽华,通过,2025-04-10,王婷,不通过,,,,,,,,,否
RES00799,销售代表,销售部,猎聘,2024-02-26,通过,2024-02-29,2024-02-29,史玉梅,通过,2024-03-04,胡帅,不通过,,,,,,,,,否
RES00800,销售代表,销售部,前程无忧,2025-04-09,不通过,,,,,,,,,,,,,,,,否
RES00801,Java开发工程师,技术部,BOSS直聘,2024-05-15,不通过,,,,,,,,,,,,,,,,否
RES00802,Java开发工程师,技术部,BOSS直聘,2025-06-09,通过,2025-06-14,2025-06-17,周华,通过,2025-06-17,陈桂英,不通过,,,,,,,,,否
RES00803,产品经理,产品部,校园招聘,2025-03-01,不通过,,,,,,,,,,,,,,,,否
RES00804,数据分析师,产品部,校园招聘,2025-04-12,不通过,,,,,,,,,,,,,,,,否
RES00805,产品经理,产品部,智联招聘,2024-02-29,不通过,,,,,,,,,,,,,,,,否
RES00806,前端开发工程师,技术部,校园招聘,2025-04-18,通过,2025-04-22,2025-04-25,张秀芳,不通过,,,,,,,,,,,,否
RES00807,测试工程师,技术部,前程无忧,2024-11-11,通过,2024-11-13,2024-11-16,倪玉兰,通过,2024-11-23,张玉英,不通过,,,,,,,,,否
RES00808,前端开发工程师,技术部,内部推荐,2024-01-23,不通过,,,,,,,,,,,,,,,,否
RES00809,HRBP,人事部,智联招聘,2025-02-09,不通过,,,,,,,,,,,,,,,,否
RES00810,Java开发工程师,技术部,BOSS直聘,2024-09-17,不通过,,,,,,,,,,,,,,,,否
RES00811,HRBP,人事部,智联招聘,2024-01-04,通过,2024-01-05,2024-01-14,钟俊,不通过,,,,,,,,,,,,否
RES00812,销售代表,销售部,智联招聘,2024-08-11,不通过,,,,,,,,,,,,,,,,否
RES00813,HRBP,人事部,前程无忧,2024-03-15,不通过,,,,,,,,,,,,,,,,否
RES00814,销售代表,销售部,BOSS直聘,2024-02-16,通过,2024-02-20,2024-02-21,杜凯,通过,2024-03-02,张楠,不通过,,,,,,,,,否
RES00815,财务会计,财务部,猎头,2025-03-09,通过,2025-03-13,2025-03-17,董丽娟,通过,2025-03-16,朱秀华,通过,2025-03-23,温斌,通过,2025-04-03,22k,23840.0,是,2025-04-20,是
RES00816,Java开发工程师,技术部,BOSS直聘,2024-12-18,通过,2024-12-23,2024-12-23,徐明,通过,2024-12-27,周建军,通过,2025-01-05,朱英,不通过,,,,,,否
RES00817,产品经理,产品部,BOSS直聘,2024-03-06,不通过,,,,,,,,,,,,,,,,否
RES00818,HRBP,人事部,前程无忧,2024-03-02,不通过,,,,,,,,,,,,,,,,否
RES00819,Java开发工程师,技术部,前程无忧,2024-03-11,不通过,,,,,,,,,,,,,,,,否
RES00820,数据分析师,产品部,智联招聘,2025-04-28,不通过,,,,,,,,,,,,,,,,否
RES00821,数据分析师,产品部,内部推荐,2024-02-02,通过,2024-02-07,2024-02-08,郑婷,不通过,,,,,,,,,,,,否
RES00822,财务会计,财务部,前程无忧,2024-10-20,通过,2024-10-23,2024-10-29,陈彬,通过,2024-10-30,赵玉珍,不通过,,,,,,,,,否
RES00823,产品运营,运营部,前程无忧,2025-02-22,通过,2025-02-23,2025-02-28,吴玉英,候选人放弃,,,,,,,,,,,,否
RES00824,产品经理,产品部,猎聘,2024-07-03,不通过,,,,,,,,,,,,,,,,否
RES00825,市场推广,市场部,BOSS直聘,2024-05-18,不通过,,,,,,,,,,,,,,,,否
RES00826,客服主管,客服部,前程无忧,2025-03-06,通过,2025-03-08,2025-03-15,徐淑珍,通过,2025-03-15,鲁帆,不通过,,,,,,,,,否
RES00827,Java开发工程师,技术部,校园招聘,2025-01-18,通过,2025-01-21,2025-01-22,师欢,通过,2025-02-02,王强,通过,2025-02-06,杨强,通过,2025-02-12,24k,22346.0,否,,否
RES00828,行政专员,人事部,BOSS直聘,2025-01-26,通过,2025-01-29,2025-02-05,刘宇,通过,2025-02-08,董淑兰,通过,2025-02-10,潘娜,不通过,,,,,,否
RES00829,Java开发工程师,技术部,智联招聘,2025-04-04,不通过,,,,,,,,,,,,,,,,否
RES00830,销售代表,销售部,校园招聘,2025-01-21,不通过,,,,,,,,,,,,,,,,否
RES00831,市场推广,市场部,智联招聘,2025-01-19,不通过,,,,,,,,,,,,,,,,否
RES00832,行政专员,人事部,智联招聘,2024-03-23,不通过,,,,,,,,,,,,,,,,否
RES00833,HRBP,人事部,猎头,2024-05-16,通过,2024-05-18,2024-05-23,刘英,通过,2024-05-30,李丽娟,通过,2024-06-02,张文,不通过,,,,,,否
RES00834,财务会计,财务部,BOSS直聘,2024-12-22,不通过,,,,,,,,,,,,,,,,否
RES00835,数据分析师,产品部,BOSS直聘,2024-05-01,不通过,,,,,,,,,,,,,,,,否
RES00836,行政专员,人事部,校园招聘,2024-07-01,通过,2024-07-05,2024-07-09,戴瑞,通过,2024-07-14,王伟,不通过,,,,,,,,,否
RES00837,HRBP,人事部,校园招聘,2025-02-06,不通过,,,,,,,,,,,,,,,,否
RES00838,数据分析师,产品部,智联招聘,2025-06-25,不通过,,,,,,,,,,,,,,,,否
RES00839,HRBP,人事部,前程无忧,2024-05-10,不通过,,,,,,,,,,,,,,,,否
RES00840,数据分析师,产品部,内部推荐,2024-08-16,不通过,,,,,,,,,,,,,,,,否
RES00841,HRBP,人事部,内部推荐,2024-01-04,通过,2024-01-05,2024-01-07,陆桂香,通过,2024-01-14,胡桂芝,通过,2024-01-21,杨利,通过,2024-01-28,29k,32781.0,是,2024-02-26,是
RES00842,销售代表,销售部,BOSS直聘,2024-01-24,通过,2024-01-29,2024-02-02,杨娜,不通过,,,,,,,,,,,,否
RES00843,行政专员,人事部,BOSS直聘,2024-11-01,不通过,,,,,,,,,,,,,,,,否
RES00844,前端开发工程师,技术部,智联招聘,2025-04-19,通过,2025-04-24,2025-04-24,马想,通过,2025-05-04,刘玉梅,通过,2025-05-06,罗想,通过,2025-05-11,12k,11310.0,否,,否
RES00845,财务会计,财务部,校园招聘,2025-03-10,不通过,,,,,,,,,,,,,,,,否
RES00846,产品运营,运营部,校园招聘,2025-06-28,不通过,,,,,,,,,,,,,,,,否
RES00847,Java开发工程师,技术部,猎头,2025-01-23,通过,2025-01-25,2025-01-30,张建,通过,2025-02-05,尹秀华,通过,2025-02-08,张柳,通过,2025-02-16,32k,35766.0,是,2025-03-07,是
RES00848,销售代表,销售部,校园招聘,2024-08-23,不通过,,,,,,,,,,,,,,,,否
RES00849,产品经理,产品部,前程无忧,2024-09-10,不通过,,,,,,,,,,,,,,,,否
RES00850,产品运营,运营部,智联招聘,2025-04-16,不通过,,,,,,,,,,,,,,,,否
RES00851,财务会计,财务部,内部推荐,2024-12-20,通过,2024-12-24,2024-12-25,王瑜,通过,2024-12-29,李红梅,通过,2025-01-05,阳娜,通过,2025-01-06,31k,30927.0,是,2025-02-16,试用期离职
RES00852,销售代表,销售部,内部推荐,2024-06-07,通过,2024-06-10,2024-06-17,郑秀兰,候选人放弃,,,,,,,,,,,,否
RES00853,产品运营,运营部,前程无忧,2024-10-09,不通过,,,,,,,,,,,,,,,,否
RES00854,Java开发工程师,技术部,BOSS直聘,2024-07-12,通过,2024-07-14,2024-07-16,张龙,通过,2024-07-23,徐浩,通过,2024-07-26,雷玉,通过,2024-08-04,34k,33365.0,否,,否
RES00855,HRBP,人事部,校园招聘,2024-04-25,不通过,,,,,,,,,,,,,,,,否
RES00856,数据分析师,产品部,智联招聘,2024-02-02,不通过,,,,,,,,,,,,,,,,否
RES00857,市场推广,市场部,智联招聘,2025-03-05,不通过,,,,,,,,,,,,,,,,否
RES00858,HRBP,人事部,前程无忧,2024-01-17,不通过,,,,,,,,,,,,,,,,否
RES00859,财务会计,财务部,猎聘,2024-09-03,不通过,,,,,,,,,,,,,,,,否
RES00860,Java开发工程师,技术部,BOSS直聘,2024-07-30,不通过,,,,,,,,,,,,,,,,否
RES00861,产品运营,运营部,内部推荐,2024-03-09,通过,2024-03-13,2024-03-17,谭丽,通过,2024-03-17,吴琳,通过,2024-03-22,黄强,通过,2024-03-29,13k,11809.0,是,2024-04-30,是
RES00862,测试工程师,技术部,BOSS直聘,2024-04-13,不通过,,,,,,,,,,,,,,,,否
RES00863,客服主管,客服部,BOSS直聘,2024-02-04,不通过,,,,,,,,,,,,,,,,否
RES00864,测试工程师,技术部,智联招聘,2025-04-02,不通过,,,,,,,,,,,,,,,,否
RES00865,市场推广,市场部,内部推荐,2024-02-19,通过,2024-02-20,2024-02-29,王文,通过,2024-02-28,陈欢,通过,2024-03-02,王成,通过,2024-03-15,17k,16660.0,是,2024-03-22,是
RES00866,HRBP,人事部,猎头,2024-09-07,通过,2024-09-08,2024-09-12,郭畅,通过,2024-09-20,黄帅,通过,2024-09-22,孙桂英,通过,2024-09-24,20k,21888.0,是,2024-10-31,试用期离职
RES00867,前端开发工程师,技术部,内部推荐,2024-02-15,通过,2024-02-18,2024-02-24,潘丹丹,通过,2024-02-26,沈辉,通过,2024-02-29,苏建华,不通过,,,,,,否
RES00868,产品运营,运营部,校园招聘,2025-02-15,不通过,,,,,,,,,,,,,,,,否
RES00869,HRBP,人事部,BOSS直聘,2025-03-25,通过,2025-03-28,2025-04-04,邓琴,不通过,,,,,,,,,,,,否
RES00870,产品运营,运营部,BOSS直聘,2024-08-27,不通过,,,,,,,,,,,,,,,,否
RES00871,市场推广,市场部,前程无忧,2024-08-10,不通过,,,,,,,,,,,,,,,,否
